baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
68.83470716773371,-7.615789417804465,0.31859927068912447,-23.90397630644807,2.7845921619544413e-126,4.485421054476214e-122,CHRNG
444.409385609036,-6.146828552084932,0.2594959189056432,-23.687573114858946,4.842713649670668e-124,3.9003215734447565e-120,CHRNA1
222.6458400207231,-3.7879864753953156,0.16506568021873716,-22.9483589221918,1.530132680555634e-116,8.21579240613005e-113,STAT2
1500.9812587836461,-7.345970955307611,0.33890231188084086,-21.675777053685245,3.473248512039739e-104,1.3986771757984029e-100,ACTC1
134.86956216887725,-6.603920137155373,0.3124989317723189,-21.13261667712474,3.988218250740573e-99,1.2848443916585828e-95,KLHL41
194.9915626189853,-3.695653456093961,0.17530012765706118,-21.08186403220282,1.16695944244033e-98,3.1328971164714723e-95,NES
216.30885681003892,-4.4997887210313765,0.21528751123260012,-20.90129936134443,5.210718517759942e-97,1.1990607697725305e-93,BLCAP
307.49558290348466,-7.02706216954443,0.34045695041989316,-20.640090210752923,1.198386893735759e-94,2.4129520105369507e-91,SYNPO2
620.7887877747153,-4.156515574602694,0.20968107406221959,-19.823036452824127,1.8839131379453815e-87,3.3717858695582452e-84,ANKRD10
235.88228534979987,-3.9086687121164267,0.19851650287533526,-19.689389322816147,2.6587543971610414e-86,4.282721582947006e-83,SLF2
81.18792431127721,-3.0480744329641682,0.1548647580186126,-19.68216960373794,3.0659222400227965e-86,4.489625040207928e-83,IFI6
180.93505574569244,-3.130380117391502,0.16100444414410933,-19.442818078919675,3.352355430836129e-84,4.499978439992364e-81,ZFP36L1
71.78559884465425,-6.976130379231222,0.3594453258777146,-19.408043106963483,6.599295030589988e-84,8.177034180980271e-81,TNNT2
287.5547780755695,-2.7987445920371727,0.14426076901294038,-19.400593877231596,7.62850538063606e-84,8.77714033366326e-81,PSME1
121.75191128400722,-5.700739766682725,0.305055443782576,-18.68755297724124,6.251533570448041e-78,6.713313516851803e-75,IGDCC4
46.64757681386688,-6.618758872383452,0.3659257114052483,-18.087711975651356,3.982826808394134e-73,4.009710889350794e-70,ADAMTS5
261.84005508184526,-4.262875536015097,0.23628887944794918,-18.040948630230158,9.293483198462101e-73,8.805848668283972e-70,SULF1
26.00055160627088,-7.436717636530331,0.4136007296848159,-17.980426780671966,2.7734953635944866e-72,2.481970184265555e-69,SHD
1076.7914112109634,-3.0738203974146794,0.17458075658183225,-17.606868349054665,2.181874309532361e-69,1.8497700725235406e-66,CALM1
16.231069101972185,-6.774982730840901,0.3850081423812343,-17.59698558305379,2.5978856429289504e-69,2.0923370968149766e-66,MYMX
75.42468919946569,-5.209527243199786,0.2983163797052153,-17.46309488050116,2.73685954811455e-68,2.099301600049008e-65,MAF
169.32352734973344,-4.220002284452322,0.2426489116892058,-17.39139176464746,9.587752790344824e-68,7.019978270312473e-65,PDCD4
62.551529661087606,-4.635615542399896,0.27016806003623817,-17.158266383443372,5.451679807702529e-66,3.818072101846623e-63,TCEA3
110.11741085156703,-3.76163234382373,0.2196126605537519,-17.128485827450923,9.099218915717045e-66,6.10709242893209e-63,SLC38A6
40.01939575637892,-6.410005366831159,0.37651934452304303,-17.02437194814267,5.417056440859184e-65,3.4903178059743896e-62,H19
71.45122252161701,-4.8787249976057065,0.2874495166774407,-16.972458517230113,1.3131735615204017e-64,8.13561528037332e-62,SERPINF1
69.95991329624766,-5.454634391679248,0.3259246646455415,-16.735874830496247,7.179449859312454e-63,4.2832066049557414e-60,SERPINB9
278.79498273722163,-3.166274716278781,0.1930449062355213,-16.401752203789407,1.85800824064759e-60,1.0688855978696921e-57,C4orf3
72.39208372707783,-4.179068823270799,0.25796230370486295,-16.200308197170195,5.017498018324524e-59,2.7869606234197044e-56,CD82
119.18840322694456,3.933828214647864,0.24432193663010596,16.10100291814373,2.510028499195749e-58,1.3477179688348373e-55,RAB3B
199.6843680964948,-2.6591265553460066,0.1657490924395607,-16.043083652573475,6.390109502767477e-58,3.3203833506638234e-55,NPEPPS
14.42098035812187,-6.439295721676294,0.4017507038003865,-16.028088216805507,8.134709277692483e-58,4.0948092826584534e-55,FITM1
70.42363505675085,-4.061249482040507,0.25401197608491505,-15.988417336208,1.538911846598519e-57,7.51175515909362e-55,KCNJ6
139.48416990799848,-3.92398139565709,0.24548263419040003,-15.984761645557343,1.631899242794069e-57,7.731362647919667e-55,CKB
242.1496592483886,-2.4588860509592343,0.15439400525948216,-15.92604613648509,4.1796428468363765e-57,1.9235910564811532e-54,FTX
75.46740662814416,-3.4455227297725353,0.21640157240634555,-15.921893225908473,4.4665459879061845e-57,1.998531188144245e-54,ECH1
47.20223329749531,-3.626397574744859,0.23028251380237572,-15.747602867740829,7.133450485857099e-56,3.105557308815842e-53,MDK
68.15569680354007,-3.7263778406334196,0.2366567991421563,-15.745914988037333,7.326369007453312e-56,3.1056092624225775e-53,SIX1
187.37570326085586,6.339999246183455,0.40371530563325014,15.704133971930567,1.4169948843842484e-55,5.852552204528583e-53,SERPINE1
84.41494540852254,-5.099196869425372,0.32740542456707655,-15.574564398766348,1.0838890497063216e-54,4.364821203167357e-52,OLFML2B
310.4930353963351,-4.458892898399397,0.2868571786611255,-15.543947406897024,1.7487215772720054e-54,6.870343211389626e-52,EGR1
97.22206264352123,-5.086949069091524,0.3306362855396037,-15.385332135550522,2.053202209186146e-53,7.874519329897724e-51,ASS1
247.20867179128138,-2.6062771099371798,0.1694863302062423,-15.37750629661807,2.3170103429853895e-53,8.679628512746198e-51,P4HA2
479.95170310207885,3.8911262755033516,0.2550732610974694,15.254936008429603,1.5264459513185461e-52,5.5881798599634405e-50,DNTTIP2
141.0165696765321,-3.4795819121788227,0.23360809520320208,-14.894954342879844,3.554273492915434e-50,1.2722719427529292e-47,BTG1
116.4066355290644,-3.050617708871704,0.2094357289015501,-14.565889616215934,4.629187961962192e-48,1.621020862854065e-45,ACAA2
221.4644297014885,3.255564169702967,0.2249276151969121,14.47383046698332,1.7731609672969643e-47,6.077037630046703e-45,SRRM2
